1		Hypothesis A	Sentence A	Entity A	Hypothesis B	Sentence B	Entity B	Cooper	Maddie	Maui	Naz	Number of matching (ratio of num "M" / people)	Ratio (M/Total)	Subclasses	Linked	Not Matching	Opposites
79	54633	h1	Hypnosis has been shown to effect bandwidth power as averaged over multiple electrodes.	Hypnosis	h1	Hypnotizability showed a weak and nonsignificant association with pre- to posttreatment change in average daily pain intensity in the efficacy sample as a whole (r = .18, p = ns).	Hypnotizability	L	M	NM	L	1	0.25	0	2	1	0
83	192328	h1	Fighting against the pain and unwillingness to experience the pain needed to be limited.	pain	h1	Change in mindful observing, however, was not significantly correlated with improved pain interference.	pain interference	NM	L	NM	M	1	0.25	0	1	2	0
99	104706	h2	We hypothesized that patients reporting a sudden pain onset will report more disability.	pain	h1	The converse pretreatment-to-4-week changes in pain intensity related to Week 8 WAI scores was not significant.	pain intensity	NM	NM	NM	M	1	0.25	0	0	3	0
123	73816	h1	It limited our ability to test whether the hypothesized associations would have emerged in individuals with higher pretreatment catastrophizing scores.	pretreatment	h1	Patients who had received PCST reported a greater decrease in high pain days at posttreatment.	posttreatment	O	O	O	M	1	0.25	0	0	0	3
126	240016	h1	The number of days of practice did not evidence a significant indirect effect on change in pain intensity.	pain intensity	h1	Simple comparisons revealed that the pretreatment-to-4-week decrease in pain interference was significant.	pain interference	NM	NM	NM	M	1	0.25	0	0	3	0
131	93978	h1	Baseline pain intensity did not have a significant effect on the change in depressive symptoms during the trial.	Baseline pain intensity	h1	The converse pretreatment-to-4-week changes in pain intensity related to Week 8 WAI scores was not significant.	pain intensity	S	M	S	S	1	0.25	3	0	0	0
147	306860	h2	Our findings suggest that postural control is impaired in individuals with cLBP.	postural control	h2	Applied to the leg muscles during quiet standing, vibration can induce postural instability.	postural instability	O	O	L	M	1	0.25	0	1	0	2
168	30680	h1	Pain may be caused or exacerbated by muscle tension.	muscle tension	h2	major outcomes are also manifested when motor neuron activity inhibits muscular contractions.	muscular contractions	L	M	NM	NM	1	0.25	0	1	2	0
191	93733	h1	Baseline pain intensity did not have a significant effect on the change in depressive symptoms during the trial.	Baseline pain intensity	h1	Baseline pain interference did not have a direct effect on the change in depressive symptoms.	Baseline pain interference	L	M	NM	NM	1	0.25	0	1	2	0
195	9223	h2	Fear of pain may be more related to short-lasting pain increases.	pain	h1	Visual feedback of bodily reactions was used to demonstrate the effect of stress on muscle tension in session 2.	stress	NM	NM	NM	M	1	0.25	0	0	3	0
199	51792	h1	Perhaps this was because patients who were experiencing lower levels of depression had higher rates of attrition.	attrition	h1	36% of the biofeedback participants reported these reductions.	reduction	NM	NM	NM	M	1	0.25	0	0	3	0
208	237620	h1	Twenty-two studies assessed the effects at post-treatment on pain intensity.	pain intensity	h1	The comparison in Figure 3 is about the maintenance of treatment effects on pain intensity, pain interference, and sleep quality over 6 months.	pain interference	L	M	NM	NM	1	0.25	0	1	2	0
213	96366	h1	Baseline pain interference did not have a direct effect on the change in depressive symptoms.	Baseline pain interference	h1	Decrease in depressive symptoms was associated with a decrease in pain interference.	pain interference	S	M	S	S	1	0.25	3	0	0	0
226	93972	h1	Baseline pain intensity did not have a significant effect on the change in depressive symptoms during the trial.	Baseline pain intensity	h1	The number of days participants listened to the audio recordings provided with treatment did not show an indirect effect on change in pain intensity.	pain intensity	S	M	S	S	1	0.25	3	0	0	0
265	166083	h2	Pain influences muscle activation.	muscle activation	h2	It is unclear whether directed attention mediates the relationship between pain intensity and neuromuscular activation.	neuromuscular activation	S	M	S	S	1	0.25	3	0	0	0
295	182720	h2	A reliable and valid index of depressive symptoms in chronic pain patients this finding the overall severity of depressive symptoms.	pain	h2	The patients in a group of patients avoid physical activities and fear pain/(re)injury.	pain	NM	NM	NM	M	1	0.25	0	0	3	0
338	93974	h1	Baseline pain intensity did not have a significant effect on the change in depressive symptoms during the trial.	Baseline pain intensity	h1	The number of days of practice did not evidence a significant indirect effect on change in pain intensity.	pain intensity	S	M	S	S	1	0.25	3	0	0	0
380	188692	h1	The pain and interference should have been present for at least 6 months.	pain	h1	Pre-treatment decrease in depressive symptoms was associated with the decrease in pain intensity.	pain	NM	NM	M	NM	1	0.25	0	0	3	0
385	237145	h1	Hypnotizability showed a weak and nonsignificant association with pre- to posttreatment change in average daily pain intensity in the efficacy sample as a whole (r = .18, p = ns).	Hypnotizability	h1	Hypnosis has been shown in studies to reduce pain intensity.	Hypnosis	L	M	L	L	1	0.25	0	3	0	0
389	116417	h2	Small changes in average stride length increase energy cost in humans.	stride length	h2	Small changes in average stride time have a similar effect on energy cost in humans.	stride time	M	L	L	L	1	0.25	0	3	0	0
392	215015	h1	It might be argued that the changes in cognitive errors were not due to decreased pain.	pain	h1	two groups: one receiving MBSR and the other receiving a multidisciplinary intervention showed improvements in perceptions of pain intensity and pain-related distress.	pain	NM	NM	M	S	1	0.25	1	0	2	0
396	195848	h1	The changes in pain interference scores were predicted.	pain	h1	It might be argued that the changes in cognitive errors were not due to decreased pain.	pain	NM	NM	M	NM	1	0.25	0	0	3	0
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
905	267601	h1	The discussion in phase 1 focused on the dysfunctional character of longstanding pain symptoms and pain-related behaviors.	pain symptoms	h2	Chronic pain may cause an unpleasant feeling.	Chronic pain	M	L	NM	NM	1	0.25	0	1	2	0
935	173335	h1	chronic neuropathic pain occurs after spinal cord injury.	neuropathic pain	h2	Chronic pain may contribute to poor quality of life (QoL).	Chronic pain	M	NM	L	S	1	0.25	1	1	1	0
954	81280	h1	Participants were adults with chronic pain secondary to multiple sclerosis (MS).	chronic pain	h1	Those in the SC condition reported a greater decrease in high pain days at follow-up.	high pain	M	NM	NM	NM	1	0.25	0	0	3	0
959	253144	h1	Simple comparisons revealed that the pretreatment-to-4-week decrease in pain interference was significant.	pain interference	h2	The relation between distraction and pain reduction is not simplistic.	pain reduction	L	M	NM	NM	1	0.25	0	1	2	0
962	242402	h1	The converse pretreatment-to-4-week changes in pain intensity related to Week 8 WAI scores was not significant.	pain intensity	h1	Change in depressive symptoms had a direct effect on change in pain interference.	pain interference	L	M	NM	NM	1	0.25	0	1	2	0
963	237151	h1	Hypnotizability showed a weak and nonsignificant association with pre- to posttreatment change in average daily pain intensity in the efficacy sample as a whole (r = .18, p = ns).	Hypnotizability	h1	52% of the hypnosis participants reported these reductions.	hypnosis	L	M	L	NM	1	0.25	0	2	1	0
970	206563	h2	There is no significant relation between pain-related fear.	pain	h2	There is no significant relation between pain-related fear.	fear	NM	M	NM	L	1	0.25	0	1	2	0
988	247184	h1	There was no evidence for significant indirect effects (mediation) of the practice of listening to the audio recordings on pain interference.	pain interference	h2	The relation between distraction and pain reduction is not simplistic.	pain reduction	M	L	NM	NM	1	0.25	0	1	2	0
990	11603	h2	Postural instability is observed in persons with spinal pain.	spinal pain	h2	Pain influences muscle activation.	Pain	S	M	S	S	1	0.25	3	0	0	0
995	173433	h1	chronic neuropathic pain occurs after spinal cord injury.	neuropathic pain	h2	Chronic pain may cause an unpleasant feeling.	Chronic pain	M	NM	L	S	1	0.25	1	1	1	0
997	238826	h1	The number of days participants listened to the audio recordings provided with treatment did not show an indirect effect on change in pain intensity.	pain intensity	h1	Change in depressive symptoms had a direct effect on change in pain interference.	pain interference	L	M	NM	NM	1	0.25	0	1	2	0
999	242386	h1	The converse pretreatment-to-4-week changes in pain intensity related to Week 8 WAI scores was not significant.	pain intensity	h1	Decrease in depressive symptoms was associated with a decrease in pain interference.	pain interference	L	M	NM	NM	1	0.25	0	1	2	0
1001	8543	h2	Fear of pain may be more related to short-lasting pain increases.	Fear of pain	h2	Fear of falling decreases the CoP excursion due to increased muscle activity.	Fear of falling	M	NM	S	NM	1	0.25	1	0	2	0
14	167829	h1	EMG biofeedback was used to demonstrate the impact of cognitions on muscle tension.	cognitions	h1	Participants were encouraged to understand how cognitive factors shape pain.	cognitive factors	L	L	L	L	0	0	0	4	0	0
2	8459	h2	Fear of pain may be more related to short-lasting pain increases.	Fear of pain	h2	Fear of falling decreases the CoP excursion in the elderly due to axial stiffness.	Fear of falling	S	NM	S	NM	0	0	2	0	2	0
3	133484	h2	A recent study found that radiating leg pain is significantly associated with high disability levels.	radiating leg pain	h2	Persons with spinal pain were less sensitive to paraspinal vibration.	spinal pain	NM	L	S	NM	0	0	1	1	2	0
4	126629	h2	the unique contribution of pain-related fear predicts poor behavioral performance.	fear	h2	Pain influences motor response in individuals with LBP.	Pain	NM	NM	NM	NM	0	0	0	0	4	0
5	317648	h1	Hypnosis has been shown in studies to reduce pain intensity.	reduce pain intensity	h2	Persons with spinal pain were less sensitive to paraspinal vibration.	spinal pain	NM	NM	NM	NM	0	0	0	0	4	0
6	207849	h2	There is no significant relation between the expectation of pain.	pain	h2	The relation between distraction and pain reduction is not simplistic.	distraction	NM	NM	NM	NM	0	0	0	0	4	0
7	43637	h1	Encouraging patients to approach and experience important emotions can modify affectively-modulated brain pathways.	emotions	h1	Stress is a common cause of complaints.	Stress	S	S	S	S	0	0	4	0	0	0
9	70579	h2	Multitudinous complementary mechanisms also involve decreased rates of breakdown.	breakdown	h1	No variable, including change in catastrophizing, showed a significant indirect effect.	catastrophizing	NM	NM	NM	NM	0	0	0	0	4	0
10	235934	h2	It is unclear whether directed attention mediates the relationship between pain intensity and neuromuscular activation.	neuromuscular activation	h2	Our findings suggest that postural control is impaired in individuals with cLBP.	postural control	NM	NM	NM	S	0	0	1	0	3	0
16	3716	h2	Chronic back pain patients are systematically exposed to a series of physical activities.	Chronic back pain	h1	Participants were adults with chronic pain secondary to spinal cord injury (SCI).	chronic pain	S	L	S	S	0	0	3	1	0	0
18	96376	h1	Baseline pain interference did not have a direct effect on the change in depressive symptoms.	Baseline pain interference	h1	the primary hypothesis compared the effects of hypnosis and biofeedback on pain interference.	pain interference	S	L	S	S	0	0	3	1	0	0
19	108346	h2	Physiologic complexity can vary with aging and disease.	aging	h1	Muscle tension may play a role in muscle tension's persistence.	persistence	NM	NM	NM	NM	0	0	0	0	4	0
22	268056	h1	The discussion in phase 1 focused on the dysfunctional character of longstanding pain symptoms and pain-related behaviors.	pain-related behaviors	h1	The improvements in pain intensity and pain-related distress were small.	pain-related distress	NM	S	NM	S	0	0	2	0	2	0
24	126015	h1	The affected items include sleep disturbance, decrease in libido, and increased fatigue.	sleep disturbance	h1	Sleep quality did not have an effect on The interaction effect for pain interference.	Sleep quality	NM	S	S	L	0	0	2	1	1	0
26	10919	h2	Postural instability is observed in persons with spinal pain.	Postural instability	h2	Walking variability can lead to increased energetic cost.	Walking variability	S	NM	NM	NM	0	0	1	0	3	0
